"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1935",0,1702.93892675303,1117.99808582432,2070.95721078691,2306.42550007068,2323.42268988664
"1936",1086,9433.71480354358,9479.34206830138,15096.997339111,16398.0863784863,17553.8607450083
"1937",2531,7266.22953490366,8947.00666819024,9956.74230785278,9036.85916648912,8864.2108591683
"1938",1002,12013.6186080252,12166.324156354,9237.20590437305,9231.77265347291,9488.12272092562
"1939",26,1387.0279232867,1837.30637289497,2360.69989919313,3358.9607790821,3016.30049798663
"1940",2928,3002.28153619242,2212.95242424629,2657.1401977852,3126.79805611513,2626.55801640593
"1941",1279,4830.85989161071,6267.33774277979,7090.56682696806,7665.90239062361,7034.33969705305
"1942",372,2126.62844651131,4736.1001207285,3114.85019471363,2610.86565182987,2172.29818759129
"1943",1882,658.329740643363,380.834573093441,271.931142590749,355.503260760353,218.040516286698
"1944",4968,13338.6028523083,8340.68635158012,6265.75400832521,7029.64095139501,6563.41490502107
"1945",0,328.427183232423,317.498039046088,258.40891738078,276.225230533969,99.7666923694462
"1946",16045,20319.4302011387,17590.0393995104,15171.0802069148,16580.1488612673,29939.8763682143
"1947",83,380.935217809766,504.849594539611,396.331996233309,242.860092021899,429.747252874046
"1948",260,4430.73711636326,2679.07143598921,4309.14697605142,3952.22449449941,4034.07208592597
"1949",15,1184.81135667851,1131.63256592155,731.899631583744,1026.74169886985,875.862295375311
"1950",0,2002.89800362008,1039.61153650325,2206.05422453328,2225.3157685598,2463.8775928631
"1951",0,587.020812145793,547.689444581348,335.824108860365,218.566923672364,306.330145892104
"1952",0,2005.97867627722,596.39453704029,2140.07304896994,1718.56232899257,1809.81912863444
"1953",1012,5146.50350915211,13069.46535348,5040.59785767761,5024.99511591986,4685.92683100241
"1954",7321,5983.48222001839,3773.55150598729,4741.19379708913,5415.10410083056,4981.89636649917
"1955",0,617.557618908515,822.722356066091,440.477940845055,360.527198601212,364.454524312837
"1956",0,1554.51776813909,1200.98570869101,1818.19984357636,1541.76623714368,1854.51076708723
"1957",114,3843.35880149612,1797.1158922349,4850.68087919394,4035.64795726734,4424.3311162471
"1958",25857,9127.89034279383,23287.1183832492,15642.2547952289,16931.1478798171,13576.7186964663
"1959",0,1446.0413538884,754.43541650127,1275.33372119896,1413.01314272259,1417.39123508538
"1960",2272,2264.76232316795,1435.45442011691,2668.02438648201,2711.47135167927,2784.22969865903
"1961",625,2151.3923856185,2111.48282036177,3294.68114751944,3062.43145386351,3061.44505803088
"1962",0,3225.66726901658,2155.7256740054,2961.82096270171,2451.55842136416,2683.4102331653
"1963",57,2000.72135430584,413.179690285453,1316.87022533415,1401.90131748849,1552.08082856176
"1964",47,2106.22398688434,1175.64105113455,2372.3289032816,2063.51635597511,1994.33506220954
"1965",0,1677.8282551313,611.974286867576,1386.35773672917,1144.87812304996,1542.95421544963
"1966",378,1940.98981505454,1509.27841966848,1778.29964842497,1784.71551980106,1890.30160511101
"1967",343,1852.29774934803,3171.53898413211,2491.69659546994,2556.97297042729,2489.62019914448
"1968",62132,5655.83297371325,7418.77031688132,9482.67435123901,10586.719505578,10011.4620248284
"1969",3030,3390.83988071222,1598.5658822126,3399.6445650728,3167.61657839607,3275.29278017097
